title,targets,authors
Enhancing Binary Images of Non-Binary LDPC Codes,"","Aman Bhatia,Aravind R. Iyengar,Paul H. Siegel"
Physics and complexity,"","David Sherrington"
Distributed Source Coding Techniques for Lossless Compression of Hyperspectral Images,"","Enrico Magli,Mauro Barni,Andrea Abrardo,Marco Grangetto"
A Coding Theoretic Approach for Evaluating Accumulate Distribution on Minimum Cut Capacity of Weighted Random Graphs,"","Tadashi Wadayama,Yuki Fujii"
Probabilistic Inference in Graphical Models,"","Michael I. Jordan,Yair Weiss"
On Coset Leader Graphs of LDPC codes,"","Eran Iceland,Alex Samorodnitsky"
Combined Analog and Digital Error-Correcting Codes For Analog Information Sources,"","Isaac Rosenhouse,Anthony J. Weiss"
Source and Channel Optimal Rate LDPC Code Design for one Sender in BE-MAC with Source Correlation,"","Hassan Tavakoli"
Opportunistic Error Correction for MIMO-OFDM: From Theory to Practice,"","Xiaoying Shao,Cornelis H. Slump"
Gallager error-correcting codes for binary asymmetric channels,"","I Neri,N S Skantzos,D Bollé"
Sparse Binary Matrices of LDPC Codes for Compressed Sensing,"CS image reconstruction by novel small length LDPC code","Weizhi Lu,Kidiyo Kpalma,Joseph Ronsin"
Coherent continuous-phase frequency-shift keying: Parameter optimization and code design,"Iterative Multisymbol Noncoherent Reception of Coded CPFSK","Shi Cheng,Matthew C. Valenti,Don J. Torrieri"
Multi-non-binary turbo codes,"","Horia Balta,Catherine Douillard,Radu Lucaciu"
Quasi Cyclic LDPC Codes Based on Finite Set Systems,"","Mohammad Gholami,Mehdi Samadieh"
Convergence of Weighted Min-Sum Decoding Via Dynamic Programming on Trees,"","Yung-Yih Jian,Henry D. Pfister"
Model-code Separation Architectures for Compression Based on Message-passing Model-code Separation Architectures for Compression Based on Message-passing Model-code Separation Architectures for Compression Based on Message-passing Contents,"","Ying-Zong Huang,Gregory W Wornell,Robert Gray,Abbas El Gamal,Brian Wandell,Stanford University"
Designing Very Good Low-density Parity-check Codes for the Gilbert-elliott Channel,"","Andrew W Eckford,Frank R Kschischang,Subbarayan Pasupathy"
Peer-reviewed Technical Communication Multicarrier Communication over Underwater Acoustic Channels with Nonuniform Doppler Shifts,"Experimental Evaluation of Zp-ofdm Scheme in Time Varying Underwater Multipath Channel","Baosheng Li,Shengli Zhou,Milica Stojanovic,Lee Freitag,Peter Willett,Mitra B Li,S Zhou,P Willett,M Stojanovic"
Expansion coding: Achieving the capacity of an AEN channel,"","Onur Ozan Koyluoglu,Kumar Appaiah,Hongbo Si,Sriram Vishwanath"
A two stage selective averaging LDPC decoding,"","A. Dinesh Kumar,Ambedkar Dukkipati"
Fountain Coding with Decoder Side Information,"","Dino Sejdinovic,Robert J. Piechocki,Angela Doufexi,Mohamed Ismail"
Upper bound on error exponent of regular LDPC codes transmitted over the BEC,"","Idan Goldenberg,David Burshtein"
Design and Synthesis of Binary Ldpc Decoder,"","Ms Rashmi,Mr Naveen K B,Mr Ananda Raju"
A Parallel Decoding Algorithm for Short Polar Codes Based on Error Checking and Correcting,"","Yingxian Zhang,Xiaofei Pan,Kegang Pan,Zhan Ye,Chao Gong"
Efficient Implementation of Elliptic Curve Cryptography on Dsp for Underwater Sensor Networks,"","Hai Yan,Jerry Zhijie,Yunsi Shi,Fei"
A Novel Approach to Built an Area Efficient Architecture for Block Ldpc Codes,"","M Devika"
Coding vs. Packet Retransmission over Noisy Channels,"","Dror Baron,Shriram Sarvotham,Richard G Baraniuk"
Performance Comparison of Ldpc Codes Using Srk Equalisation and Ofdm Techniques for Broadband Fixed Wireless Access Systems,"","M K Khan,R A Carrasco,I J Wassell,J A Neasham"
Resource Allocation via Linear Programming for Fractional Cooperation,"","Nariman Farsad,Andrew W. Eckford"
Joint Decoding of LDPC Code and Phase Factors for OFDM Systems With PTS PAPR Reduction,"","Li Li,Daiming Qu"
Power-efficient LDPC code decoder architecture,"","Kazunori Shimizu,Nozomu Togawa,Takeshi Ikenaga,Satoshi Goto"
Syndrome Source Coding for Lossless Data Compression Based on Linear Block Codes,"","Xiaoyan Wu"
Forced Convergence Decoding of LDPC Codes – EXIT Chart Analysis and Combination with Node Complexity Reduction Techniques,"","Ernesto Zimmermann,Wolfgang Rave,Gerhard Fettweis"
A Low Latency  Low-power Ldpc Decoder Design,"","Z H Cai,S Chattong,T H Khine"
An Ldpc Decoding Algorithm Utilizing Early Decisions,"","Anton Blad,Oscar Gustafsson,Lars Wanhammar"
Quasi-Cyclic LDPC Codes: Influence of Proto- and Tanner-Graph Structure on Minimum Hamming Distance Upper Bounds,"Rate-Compatible Protograph-based LDPC Codes for Inter-Symbol Interference Channels","Roxana Smarandache,Pascal O. Vontobel"
20 Years of Turbo Coding and Energy-Aware Design Guidelines for Energy-Constrained Wireless Applications,"","Matthew F. Brejza,Liang Li,Robert G. Maunder,Bashir M. Al-Hashimi,Claude Berrou,Lajos Hanzo"
A permutation decomposition based algorithm for the design of prunable interleavers for parallel turbo decoder architectures,"","Libero Dinoi,Alberto Tarable,Sergio Benedetto"
Development and Verification of Iterative Decoder for LDPC-RS Product Codes,"","K S Gurumurthy"
Summary List of Journal Papers -first Author,"","Holger Rong Zhang,Harald Claussen,Lajos Haas,Hanzo,Rong Zhang,Jiaheng Wang,Zhaocheng Wang,Zhengyuan Xu,Chunming Zhao,Lajos Hanzo,Lie-Liang Yang"
Polar Coding for the General Wiretap Channel With Extensions to Multiuser Scenarios,"","Yi-Peng Wei,Sennur Ulukus"
